brand,cpu,gpu,os,storage_type,ram_gb,storage_gb,screen_inches,rating,warranty_years,cpu_physical_cores,cpu_threads,year,price
HP,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,164.0,512.0,15.6,68.0,1.0,12.0,12.0,2023.0,68990.0
HP,3rd Gen AMD Ryzen 3 3250U,AMD Radeon AMD,Windows 11 OS,ssd,84.0,512.0,15.6,55.0,1.0,12.0,4.0,2023.0,25580.0
MSI,7th Gen AMD Ryzen 5 7530U,AMD Radeon AMD,Windows 11 OS,ssd,164.0,512.0,14.0,59.0,1.0,12.0,12.0,2023.0,37990.0
MSI,12th Gen Intel Core i7 12650H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,165.0,1024.0,15.6,74.0,2.0,10.0,16.0,2023.0,94990.0
Samsung,12th Gen Intel Core i5 1235U ,Intel Integrated UHD,Windows 11 OS,ssd,164.0,512.0,15.6,56.0,1.0,10.0,12.0,2023.0,52990.0
Dell,12th Gen Intel Core i5 1235U,Intel Iris Xe Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,54.0,1.0,10.0,12.0,2023.0,46490.0
Dell,12th Gen Intel Core i5 1235U,Intel Iris Xe Graphics,Windows 11 OS,ssd,84.0,512.0,14.0,59.0,1.0,10.0,12.0,2023.0,108000.0
Asus,6th Gen AMD Ryzen 9 6900HS​,4 GB ‎NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,165.0,1024.0,13.4,75.0,1.0,12.0,16.0,2023.0,89990.0
Asus,5th Gen AMD Ryzen 5 5600H,AMD Radeon Vega 7,Windows 11 OS,ssd,84.0,512.0,16.0,62.0,1.0,12.0,12.0,2022.0,46890.0
Asus,5th Gen AMD Ryzen 7  5800H,AMD Radeon Vega 7,Windows 11 OS,ssd,164.0,512.0,16.0,64.0,1.0,12.0,16.0,2022.0,55200.0
HP,5th Gen AMD Ryzen 5 5600H ,4 GB NVIDIA GeForce GTX 1650,Windows 11 OS,ssd,84.0,512.0,16.1,65.0,1.0,12.0,12.0,2023.0,44990.0
Asus,11th Gen Intel Core i3 1115G4,Intel Integrated UHD Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,54.0,1.0,12.0,4.0,2023.0,31990.0
Samsung,Processor: 12th Generation Intel Core i5-1235U processor (1.3 GHz up to 4.4 GHz 12 MB L3…,Preinstalled Software: MS Office Home & Student 2021,Intel Iris Xe Graphics,other,512.0,11.0,15.6,62.0,1.0,12.0,12.0,2023.0,49990.0
iBall,Intel Atom Quad Core Z3735F,Intel HD Graphics,Windows 10 OS,hdd,23.0,32.0,11.6,62.0,1.0,12.0,12.0,2023.0,8000.0
HP,13th Gen Intel Core i5 13420H,NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,164.0,512.0,15.6,62.0,1.0,12.0,12.0,2023.0,74490.0
HP,13th Gen Intel Core i5 13420H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,164.0,512.0,15.6,64.0,1.0,12.0,12.0,2023.0,65990.0
Lenovo,14th Gen Intel Core i9 14900HX,12 GB NVIDIA Geforce RTX 4080,Windows 11 OS,ssd,325.0,1024.0,16.0,62.0,1.0,24.0,32.0,2024.0,297758.0
Asus,Intel Core Ultra 7 155U,Intel Integrated Intel Iris Xe Graphics,Windows 11 OS,ssd,325.0,1024.0,13.3,70.0,1.0,12.0,14.0,2024.0,139990.0
Lenovo,13th Gen Intel Core i7 1360P,4 GB NVIDIA RTX A500,Windows 11 OS,ssd,165.0,512.0,14.0,71.0,3.0,12.0,16.0,2023.0,109990.0
Lenovo,13th Gen Intel Core i7 1360P,4 GB NVIDIA RTX A500,Windows 11 OS,ssd,165.0,512.0,14.0,72.0,3.0,12.0,16.0,2023.0,129990.0
Asus,Intel Core Ultra 7 155U,Intel Integrated Intel Iris Xe Graphics,Windows 11 OS,ssd,165.0,1024.0,13.3,65.0,1.0,12.0,14.0,2024.0,129990.0
HP,Intel Core Ultra 7 155U,Integrated Intel Graphics,Windows 11 OS,ssd,165.0,512.0,14.0,68.0,1.0,12.0,14.0,2023.0,108999.0
MSI,8th Gen AMD Ryzen 7 8845HS,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,165.0,1024.0,17.3,77.0,2.0,12.0,16.0,2023.0,119990.0
Apple,Apple M3,10-Core GPU,Mac OS,ssd,84.0,512.0,15.3,56.0,1.0,12.0,12.0,2024.0,154900.0
Apple,Apple M3,10-Core GPU,Mac OS,ssd,84.0,256.0,15.3,54.0,1.0,12.0,12.0,2024.0,133553.0
Apple,Apple M3,Apple 10 Core GPU,Mac OS,ssd,8.0,512.0,13.6,62.0,1.0,12.0,12.0,2024.0,134900.0
Apple,Apple M3,10-Core GPU,Mac OS,ssd,16.0,512.0,15.3,57.0,1.0,12.0,12.0,2024.0,174900.0
MSI,14th Gen Intel Core i7 14700HX,8 GB NVIDIA GeForce RTX 4070,Windows 11 OS,ssd,325.0,1024.0,16.0,62.0,2.0,20.0,28.0,2023.0,197990.0
Xiaomi,Intel Core Ultra 5 Series 1 125H,Intel  ARC Graphics,Windows 11 OS,ssd,325.0,1024.0,16.0,62.0,1.0,14.0,18.0,2024.0,69990.0
Xiaomi,Intel Core Ultra 5 Series 1 125H,Intel Iris Xe Graphics,Windows 11 OS,ssd,165.0,512.0,14.0,61.0,2.0,14.0,18.0,2024.0,59990.0
Lenovo,14th Gen Intel Core i9 14900HX,16 GB NVIDIA GeForce RTX 4090,Windows 11 OS,ssd,645.0,2048.0,16.0,62.0,1.0,24.0,32.0,2024.0,349990.0
Samsung,Intel Core 7 Processor Series 1 150U,Intel Graphics,Windows 11 OS,ssd,165.0,1024.0,15.6,61.0,1.0,10.0,12.0,2023.0,138990.0
Samsung,Intel Core Ultra 7 Series 1 155H,Intel Arc Graphics,Windows 11 OS,ssd,165.0,512.0,16.0,69.0,1.0,16.0,22.0,2023.0,163990.0
Samsung,Intel Core 7 Processor Series 1 150U,Intel Graphics,Windows 11 OS,ssd,165.0,512.0,15.6,59.0,1.0,10.0,12.0,2023.0,122990.0
Samsung,Intel Core 5 Processor Series 1 120U,Intel Graphics,Windows 11 OS,ssd,165.0,512.0,15.6,57.0,1.0,10.0,12.0,2023.0,114990.0
Samsung,Intel Core Ultra 7 Series 1 155H,Intel Arc Graphics,Windows 11 OS,ssd,165.0,1024.0,16.0,70.0,1.0,16.0,22.0,2023.0,179990.0
Acer,11th Gen Intel Core i7 1165G7,Intel Iris Xe Graphics,Windows 11 OS,ssd,164.0,512.0,15.6,59.0,1.0,12.0,8.0,2023.0,49499.0
Samsung,Intel Core Ultra 7 Series 1 155H,Intel Arc Graphics,Windows 11 OS,ssd,325.0,1024.0,14.0,72.0,1.0,16.0,22.0,2023.0,171990.0
Samsung,Intel Core Ultra 5 Series 1 125H,Intel Arc Graphics,Windows 11 OS,ssd,165.0,512.0,14.0,65.0,1.0,14.0,18.0,2023.0,131990.0
Samsung,Intel Core Ultra 5 Series 1 125H,Intel Arc Graphics,Windows 11 OS,ssd,165.0,512.0,16.0,65.0,1.0,14.0,18.0,2023.0,141990.0
Samsung,Intel Core Ultra 7 Series 1 155H,Intel Arc Graphics,Windows 11 OS,ssd,165.0,512.0,16.0,68.0,1.0,16.0,22.0,2023.0,149990.0
Samsung,Intel Core Ultra 7 Series 1 155H,Intel Arc Graphics,Windows 11 OS,ssd,325.0,1024.0,16.0,73.0,1.0,16.0,22.0,2023.0,181990.0
Lenovo,Intel Core Ultra 5 Series 1 125H,Intel Arc Graphics,Windows 11 OS,ssd,165.0,1024.0,14.0,62.0,1.0,14.0,18.0,2023.0,76990.0
Asus,Intel Pentium Gold 7505,Intel Integrated UHD,Windows 11 OS,ssd,84.0,256.0,15.6,62.0,1.0,12.0,4.0,2023.0,25990.0
Dell,13th Gen Intel Core i5 13450HX,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,165.0,512.0,15.6,66.0,1.0,10.0,16.0,2023.0,79990.0
HP,13th Gen Intel Core i5 1334U,Intel Integrated Integrated,Windows 11 OS,ssd,164.0,512.0,15.6,52.0,1.0,10.0,12.0,2023.0,60799.0
HP,12th Gen Intel Core i3 1215U,Intel Integrated UHD,Windows 11 OS,ssd,84.0,512.0,14.0,62.0,1.0,12.0,8.0,2023.0,54990.0
Infinix,13th Gen Intel Core i5 1335U,Intel Integrated Iris Xe,Windows 11 OS,ssd,164.0,512.0,16.0,53.0,1.0,10.0,12.0,2023.0,43990.0
HP,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,84.0,512.0,15.6,64.0,1.0,12.0,12.0,2023.0,58490.0
Infinix,13th Gen Intel Core i3 1315U,Intel Integrated Iris Xe,Windows 11 OS,ssd,164.0,512.0,16.0,54.0,1.0,12.0,8.0,2023.0,36990.0
HP,3rd Gen AMD Ryzen 3 3250U,AMD Radeon Graphics,DOS OS,ssd,84.0,512.0,14.0,50.0,1.0,12.0,4.0,2023.0,24900.0
HP,12th Gen Intel Core i5 1235U,Intel UHD Graphics,Windows 11 OS,ssd,164.0,512.0,15.6,57.0,1.0,10.0,12.0,2023.0,53799.0
Lenovo,7th Gen AMD Ryzen 5 7520U,AMD Radeon Graphics,Windows 11 OS,ssd,85.0,512.0,15.6,56.0,1.0,12.0,8.0,2023.0,33990.0
Lenovo,Intel Core i9 14900HX,8 GB NVIDIA GeForce RTX 4070,Windows 11 OS,ssd,325.0,1024.0,16.0,69.0,1.0,24.0,32.0,2023.0,149990.0
Lenovo,5th Gen AMD Ryzen 5 5500U,AMD Radeon Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,62.0,1.0,12.0,12.0,2023.0,35490.0
Infinix,11th Gen Intel Core i5 1155G7,Intel Integrated Iris Xe,Windows 11 OS,ssd,164.0,512.0,15.6,51.0,1.0,12.0,8.0,2023.0,33990.0
Lenovo,6th Gen AMD Ryzen 7 6800H,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,164.0,512.0,15.6,66.0,1.0,12.0,16.0,2023.0,69990.0
Xiaomi,13th Gen Intel Core i5 13500H,Intel ARC Graphics,Windows 11 OS,ssd,165.0,512.0,14.0,57.0,1.0,12.0,16.0,2024.0,49990.0
