feature_name,mean_abs_shap
cat__gpu_Nvidia GeForce GTX1080,0.0
cat__gpu_AMD Radeon 540,0.0
cat__gpu_Nvidia GeForce MX130,0.0
cat__gpu_Nvidia GeForce MX150,0.0
cat__gpu_Nvidia Quadro 3000M,0.0
cat__gpu_Nvidia Quadro M1000M,0.0
cat__gpu_Nvidia Quadro M1200,0.0
cat__gpu_Nvidia Quadro M2000M,0.0
cat__gpu_Nvidia Quadro M2200,0.0
cat__gpu_Nvidia Quadro M2200M,0.0
cat__gpu_Nvidia Quadro M3000M,0.0
cat__gpu_Nvidia Quadro M500M,0.0
cat__gpu_Nvidia Quadro M520M,0.0
cat__gpu_Nvidia GeForce GTX 930MX,0.0
cat__gpu_Nvidia GeForce GTX 1080,0.0
cat__gpu_Nvidia GeForce GTX 1070M,0.0
cat__gpu_Nvidia GeForce GTX 1070,0.0
cat__gpu_Intel UHD Graphics 600,0.0
cat__gpu_Intel UHD Graphics 620,0.0
cat__gpu_Intel UHD Integrated,0.0
cat__gpu_Iris Xe Graphics,0.0
cat__gpu_Linux OS,0.0
cat__gpu_NVIDIA GeForce RTX 3050,0.0
cat__gpu_NVIDIA Geforce RTX,0.0
cat__gpu_Nvidia GTX 980 SLI,0.0
cat__gpu_Nvidia GeForce 150MX,0.0
cat__gpu_Nvidia GeForce 920,0.0
cat__gpu_Nvidia GeForce 920M,0.0
cat__gpu_Nvidia GeForce 920MX,0.0
cat__gpu_Nvidia GeForce 930M,0.0
cat__gpu_Nvidia GeForce 930MX,0.0
cat__gpu_Nvidia GeForce 940M,0.0
cat__gpu_Nvidia GeForce 940MX,0.0
cat__gpu_Nvidia GeForce 960M,0.0
cat__gpu_Nvidia GeForce GT 940MX,0.0
cat__gpu_Nvidia GeForce GTX 1050,0.0
cat__gpu_Nvidia GeForce GTX 1050 Ti,0.0
cat__gpu_Nvidia GeForce GTX 1050M,0.0
cat__gpu_Nvidia GeForce GTX 1050Ti,0.0
cat__gpu_Nvidia GeForce GTX 1060,0.0
cat__gpu_Nvidia Quadro M620,0.0
cat__gpu_Nvidia Quadro M620M,0.0
cat__gpu_Preinstalled Software: MS Office Home & Student 2021,0.0
cat__os_macOS,0.0
cat__storage_type_hdd,0.0
cat__storage_type_hybrid,0.0
cat__storage_type_other,0.0
cat__storage_type_ssd,0.0
cat__storage_type_unknown,0.0
cat__cpu_vendor_AMD,0.0
cat__cpu_vendor_Apple,0.0
cat__cpu_vendor_Intel,0.0
cat__cpu_vendor_Other,0.0
cat__gpu_vendor_AMD,0.0
cat__gpu_vendor_Apple,0.0
cat__gpu_vendor_Intel,0.0
cat__gpu_vendor_NVIDIA,0.0
cat__gpu_vendor_Other,0.0
cat__cpu_gpu_combo_AMD_AMD,0.0
cat__cpu_gpu_combo_Apple_Apple,0.0
cat__cpu_gpu_combo_Apple_Other,0.0
cat__cpu_gpu_combo_Intel_AMD,0.0
cat__cpu_gpu_combo_Intel_Intel,0.0
cat__cpu_gpu_combo_Intel_Other,0.0
cat__cpu_gpu_combo_Other_AMD,0.0
cat__cpu_gpu_combo_Other_Intel,0.0
cat__cpu_gpu_combo_Other_NVIDIA,0.0
cat__os_unknown,0.0
cat__os_Windows OS,0.0
cat__gpu_Unknown GPU,0.0
cat__os_Windows 7,0.0
cat__gpu_‎Intel Iris Xe Graphics,0.0
cat__gpu_‎Intel UHD Graphics,0.0
cat__os_1 Year Warranty,0.0
"cat__os_15.6 inches, 1920 x 1080 pixels",0.0
cat__os_2 Year Warranty,0.0
cat__os_Android,0.0
cat__os_Backlit Keyboard,0.0
cat__os_Chrome OS,0.0
cat__os_DOS 3.0 OS,0.0
cat__os_DOS OS,0.0
cat__os_Intel Iris Xe Graphics,0.0
cat__os_Linux,0.0
cat__os_Mac OS,0.0
cat__os_Mac OS X,0.0
cat__os_No OS,0.0
cat__os_Ubuntu OS,0.0
cat__os_Windows 10,0.0
cat__os_Windows 10  OS,0.0
cat__os_Windows 10 OS,0.0
cat__os_Windows 10 S,0.0
cat__os_Windows 11  OS,0.0
cat__os_Windows 11 OS,0.0
cat__os_Windows 11 Pro OS,0.0
cat__gpu_Intel UHD Graphics ,0.0
cat__gpu_Intel UHD Graphics,0.0
cat__gpu_Intel UHD,0.0
cat__gpu_AMD Radeon R7 Graphics,0.0
cat__gpu_AMD Radeon R7 M365X,0.0
cat__gpu_AMD Radeon R7 M440,0.0
cat__gpu_AMD Radeon R7 M445,0.0
cat__gpu_AMD Radeon R7 M460,0.0
cat__gpu_AMD Radeon R7 M465,0.0
cat__gpu_AMD Radeon R9 M385,0.0
cat__gpu_AMD Radeon RX 540,0.0
cat__gpu_AMD Radeon RX 550,0.0
cat__gpu_AMD Radeon RX 560,0.0
cat__gpu_AMD Radeon RX 580,0.0
cat__gpu_AMD Radeon Radeon,0.0
cat__gpu_AMD Radeon Radeon Graphics,0.0
cat__gpu_AMD Radeon Vega 7,0.0
cat__gpu_AMD Radeon Vega 8 Graphics,0.0
cat__gpu_AMD Raedon Graphics,0.0
cat__gpu_ARM Mali G72,0.0
cat__gpu_ARM Mali T860 MP4,0.0
cat__gpu_Apple 10 Core GPU,0.0
cat__gpu_Apple 8 Core GPU,0.0
cat__gpu_Apple M1 Integrated Graphics,0.0
cat__gpu_Arm Mali G52 MC2 2EE,0.0
cat__gpu_Arm Mali G52 MC2 2EE Graphics,0.0
cat__gpu_Arm Mali-G72 MP3,0.0
cat__gpu_AMD Radeon R7 M360,0.0
cat__gpu_AMD Radeon R7,0.0
cat__gpu_Integrated Intel Graphics,0.0
cat__gpu_AMD Radeon R5 M430,0.0
cat__gpu_AMD Radeon 610M,0.0
cat__gpu_AMD Radeon 610M Graphics,0.0
cat__cpu_Custom 3.81GHz,0.0
cat__gpu_AMD Radeon 7 Graphics,0.0
cat__gpu_AMD Radeon 780M Graphics,0.0
cat__gpu_AMD Radeon AMD,0.0
cat__gpu_AMD Radeon Graphics,0.0
cat__gpu_AMD Radeon Integrated Graphics,0.0
